id,latitude,longitude,city,
303,-14.8498325,-40.8380598,VitÌ_ria da Conquista,
304,22.4217648,-83.6958475,Pinar del RÌ_o,
305,53.0162014,-2.1812607,Stoke-on-Trent,
306,43.2389912,76.9453467,__È___¡„â„Ü,
307,53.4301652,14.5513137,Szczecin,
308,51.9382922,15.5045677,Zielona GÌ_ra,
309,51.049718,7.0175786,Leverkusen,
310,55.8605382,9.849854,Horsens,
311,55.4894999,9.47905,Kolding,
312,55.7000057,9.5333238,Vejle,
313,56.1496278,10.2134046,Aarhus,
314,55.3997225,10.3852104,Odense,
315,43.4623102,-3.8101067,Santander,
316,25.3833313,97.3999925,‡Ûª‡Û_‡ÛÉ‡Û¼‡ÛÛ‡Û_‡Û¨‡Ûü‡ÛÓ‡ÛÂ‡Ûü‡Ûª‡Û_‡Û_‡Ûø‡Ûá,
317,16.4913891,97.625556,‡Ûª‡Û±‡ÛÂ‡Û¼‡ÛÏ‡Ûª‡Û_‡Û_‡Ûø‡Ûã‡Û¼,
318,20.783341,97.0333244,‡Û‡Û±‡ÛÂ‡Ûã‡Û¼‡ÛÛ‡Û_‡Û¨‡Ûü‡Ûª‡Û_‡Û_‡Ûø‡Ûá,
319,20.1491458,94.9213518,Magwe,
320,22.0333331,96.466667,‡Û¥‡Û_‡Ûã‡Û¼‡Û_‡Ûü‡ÛÏ‡Û_‡Ûã,
321,19.674167,97.2094441,‡ÛÏ‡Û_‡Û_‡Ûø‡Ûã‡Û¼‡ÛÛ‡Û±‡ÛÂ‡Û¼‡Ûª,
322,16.8098796,96.1587123,‡Ûİ‡ÛÓ‡Û¼‡ÛÛ‡Ûø‡ÛÓ‡Û¼,
323,16.920556,97.371389,Thaton,
324,18.816667,95.216667,Prome,
325,16.783333,94.733333,Pathein,
326,22.933333,97.75,Lashio,
327,14.083333,98.2,Dawei,
328,17.336667,96.479722,Bago,
329,21.4587531,95.3924129,Myingyan,
330,20.15,92.9,Akyab,
331,18.933333,96.433333,Taungoo,
332,20.466667,94.883333,Yenangyaung,
333,21.9796979,96.0817861,‡Ûª‡ÛÓ‡Û_‡Û‡ÛÏ‡Û±‡Ûü‡Ûª‡Û_‡Û_‡Ûø‡Ûá,
334,22.116667,95.133333,‡Ûª‡Ûø‡Û¦‡Ûİ‡Û_‡ÛÂ‡Ûª‡Û_‡Û_‡Ûø‡Ûá,
335,20.8814233,95.8619463,‡Ûª‡Û_‡Û‡Û_‡ÛÔ‡Û¨‡ÛÏ‡ÛÂ,
336,17.6451134,95.4612263,Hinthada,
337,12.433333,98.6,Myeik,
338,29.4928874,60.8503017,¯_¯¤ôà¯ø¯¤ô ,
339,36.4700774,52.3516439,¯¢ôÉôã,
340,34.4319648,-119.7982268,,
341,36.7606584,-119.8038111,Fresno,
342,45.8131883,15.9769769,Zagreb,
343,52.1303794,-106.6605124,Saskatoon,
344,37.3114953,-120.4828288,Merced,
345,22.4127416,-79.9668704,Santa Clara,
346,49.1196964,6.176355,Metz,
347,47.3906174,0.6893001,Tours,
348,45.7774551,3.0819427,Clermont-Ferrand,
349,49.2577886,4.031926,Reims,
350,42.6954033,2.8844449,Perpignan,
351,47.3215807,5.0414699,Dijon,
352,47.8989407,1.9040221,OrlÌ©ans,
353,49.8941708,2.2956951,Amiens,
354,43.6044622,1.4442469,Toulouse,
355,45.8354243,1.2644847,Limoges,
356,48.1114535,-1.679298,Rennes,
357,43.7009504,7.2684054,Nice,
358,45.4401467,4.3873058,Saint-Ìätienne,
359,49.4937574,0.1205044,Le Havre,
360,47.2191672,-1.5529162,Nantes,
361,47.2415468,6.0251224,BesanÌ¤on,
362,48.0077367,0.1995271,Le Mans,
363,48.584614,7.7507127,Strasbourg,
364,47.7494188,7.3399355,Mulhouse,
365,47.4707243,-0.552322,Angers,
366,50.6305089,3.0706414,Lille,
367,43.1257311,5.9304919,Toulon,
368,43.8374249,4.3600687,NÌ¨mes,
369,49.4404591,1.0939658,Rouen,
370,45.1864181,5.7364904,Grenoble,
371,48.8357506,2.2399217,Boulogne-Billancourt,
372,43.5298424,5.4474738,Aix-en-Provence,
373,50.6915893,3.1741734,Roubaix,
374,46.5802596,0.340196,Poitiers,
375,50.7271174,3.1616649,Tourcoing,
376,48.9476962,2.2481696,Argenteuil,
377,51.0335888,2.3792644,Dunkerque,
378,48.8631872,2.4415829,Montreuil,
379,48.6928048,6.1838123,Nancy,
380,54.0484068,-2.7990345,Lancaster,
381,51.5882332,-2.9974967,Newport,
382,53.7657076,-0.3370322,Kingston upon Hull,
383,54.5760419,-1.2344047,Middlesbrough,
384,53.7941567,-1.7494778,,
385,56.6578041,23.71102,Jelgava,
386,56.9493977,24.1051844,R€Çga,
387,50.4480951,-104.6158181,Regina,
388,34.6800187,-1.920379,Oujda ôö¯Â¯ø¯©‰Û_,
389,35.7679823,-5.8147392,Tanger ¯áô ¯Â¯©,
390,33.8894864,-5.5505633,MaknÌ¢s  ôÉôÄô ¯¤¯_,
391,33.2429276,-8.4988272,El Jadida ¯¤ôã¯Â¯øô_¯ø¯©,
392,47.8994183,20.3741291,Eger,
393,47.531399,21.6259782,Debrecen,
394,43.2948059,5.3708155,Marseille,
395,49.1422908,9.2186549,Heilbronn,
396,55.6039243,13.0073038,MalmÌ¦,
397,57.5391883,25.4216251,Valmiera,
398,47.84621,16.5237586,Eisenstadt,
399,37.7789601,-122.419199,San Francisco,
400,32.7469748,-117.2118132,San Diego,
401,33.7491288,-117.8617518,Santa Ana,
402,50.2627515,-5.0520467,Truro,
403,51.0455535,-114.061503,Calgary,
404,51.2859257,-114.0105994,Airdrie,
405,64.5634125,39.8246073,_Á_µ___µ„Û___«___ü__„_¼,
406,61.7900409,34.3899995,_Ù_µ„â„Û___á_¡_____«„_¼,
407,-29.1163947,26.2154956,Bloemfontein,
408,59.218613,39.8928691,_Õ___È_____«_¡,
