id,name
990,Braggs
991,Brandontown
992,Brannon Stand
993,Brantley
994,Brantley Crossing
995,Brassell
996,Brassell Bottom
997,Bremen
998,Brewersville
999,Briar Hill
1000,Brice
1001,Brides Hill
1002,Bridgehead
1003,Bridgeport
1004,Brighton
1005,Brilliant
1006,Brookhurst
1007,Brookhurst
1008,Brooklane Place
1009,Brooklyn
1010,Brooklyn
1011,Brooklyn
1012,Brooks
1013,Brooks Acres
1014,Brookside
1015,Brooksville
1016,Brooksville
1017,Brookwood
1018,Brookwood Forest
1019,Broomtown
1020,Browns
1021,Browns Corner
1022,Browns Crossroad
1023,Brownsboro
1024,Brownstown
1025,Browntown
1026,Brownville
1027,Brownville
1028,Brownville
1029,Brundidge
1030,Brushy Creek
1031,Brushy Pond
1032,Bryan
1033,Bryant
1034,Buckville
1035,Buena Vista Highlands
1036,Buffalo
1037,Buhl
1038,Bull City
1039,Burbank
1040,Burchfield
1041,Burgreen Gin
1042,Burningtree Mountain
1043,Burnt Corn
1044,Burntout
1045,Burnwell
1046,Bush
1047,Caddo
1048,Cahaba
1049,Cahaba Crest
1050,Cahaba Heights
1051,Cahaba Hills
1052,Cairo
1053,Calcis
1054,Caledonia
1055,Calhoun
1056,Calumet
1057,Calvary
1058,Calvert
1059,Camden
1060,Camelot
1061,Cameron
1062,Camp Hill
1063,Camp Horne
1064,Campbell
1065,Campbell
1066,Campbellville
1067,Canaan
1068,Canoe
1069,Cantelous
1070,Capps
1071,Capshaw
1072,Card Switch
1073,Cardiff
1074,Carlisle
1075,Carlowville
1076,Carlton
1077,Carns
1078,Carpenter
1079,Carrville
1080,Carson
1081,Carter Grove
1082,Cartwright
1083,Casemore
1084,Castleberry
1085,Caswell
1086,Catalpa
1087,Catherine
1088,Cavalry Hill
1089,Cecil
1090,Cedar Grove
1091,Cedar Grove
1092,Cedar Hill
1093,Cedar Springs
1094,Cedrum
1095,Centenary
1096,Center Community
1097,Center Dale
1098,Center Hill
1099,Center Hill
1100,Center Hill
1101,Center Point
1102,Center Point
1103,Center Point Gardens
1104,Center Ridge
1105,Centercrest
1106,Centerville
1107,Central
1108,Central
1109,Central Heights
1110,Central Highlands
1111,Central Park Highlands
1112,Centre
1113,Chalkville
1114,Chalybeate Springs
1115,Chance
1116,Chancellor
1117,Chapel Hill
1118,Chapel Hill
1119,Chapel Hill
1120,Chapel Hill
1121,Chapman Heights
1122,Chastang
1123,Chatom
1124,Chehaw
1125,Chelsea
1126,Chelsea
1127,Cherokee
1128,Cherokee Bluffs
1129,Cherokee Forest
1130,Cherokee Village
1131,Chesson
1132,Chestnut
1133,Chestnut Grove
1134,Chetopa
1135,Chickasaw
1136,Childersburg
1137,Chilton
1138,China
1139,Chisholm
1140,Choctaw City
1141,Chunchula
1142,Chunnenuggee
1143,Citronelle
1144,Claiborne
1145,Susan Moore
1146,Clarkdale
1147,Clarke
1148,Claud
1149,Clay
1150,Clay City
1151,Clayhatchee
1152,Clayton
1153,Cliff Haven
1154,Clift Acres
1155,Clinton
1156,Clintonville
1157,Clopton
1158,Cloverdale
1159,Cloverdale
1160,Cloverdale
1161,Cloverdale Heights
1162,Clubview Heights
1163,Coal Valley
1164,Coalburg
1165,Coaldale
1166,Coaling
1167,Coalmont
1168,Coatopa
1169,Cobb City
1170,West End Anniston
1171,Cochrane
1172,Coden
1173,Coffee Springs
1174,Coffeeville
1175,Coker
1176,Colbert
1177,Colbert Heights
1178,Cold Springs
1179,Coldwater
1180,Collirene
1181,Colonial Heights
1182,Columbia
1183,Columbus City
1184,Colwell
1185,Comer
1186,Concord
1187,Cooks
1188,Coon Creek
1189,Coosa Court
1190,Coosa Pines
1191,Coosa River
1192,Copeland
1193,Corbinville
1194,Corcoran
1195,Cordova
1196,Corinth
1197,Corinth
1198,Corner
1199,Cornerstone
1200,Corona
1201,Cottage Grove
1202,Cottage Hill
1203,Cottage Hill
1204,Cotton Valley
1205,Cottondale
1206,Cottonton
1207,Cottonwood
1208,Country Club Acres
1209,Country Club Village
1210,County Line
1211,County Line
1212,Courtland
1213,Covin
1214,Cowarts
1215,Cowpens
1216,Cox Beach
1217,Coxey
1218,Coxheath
1219,Crawford
1220,Crawford Fork
1221,Creek Stand
1222,Creel
1223,Creola
1224,Crescent Heights
1225,Crestline Gardens
1226,Crestline Heights
1227,Crestview Hills
1228,Crews
1229,Crichton
1230,Crossroads
1231,Crosston
1232,Crudup
1233,Crumley Chapel
1234,Cuba
1235,Cullman
1236,Cullomburg
1237,Cunningham
1238,Currys
1239,Curtis
1240,Curtiston
1241,Dadeville
1242,Daisey City
1243,Daisy
1244,Daleville
1245,Dallas
1246,Dallas
1247,Damascus
1248,Dancy
1249,Danielsville
1250,Danville
1251,Dargin
1252,Darwin Downs
1253,Dauphin Island
1254,Davis Hills
1255,Daviston
1256,Davisville
1257,Dawes
1258,Dayton
1259,Decatur
1260,Delchamps
1261,Dells Vista Shores
1262,Delmar
1263,Demopolis
1264,Dempsey
1265,Detroit
1266,Dewey
1267,Dexter
1268,Dickert
1269,Dickinson
1270,Dill
1271,Dilworth
1272,Dixon Corner
1273,Dixonville
1274,Docray
1275,Dogtown
1276,Dogwood
1277,Doliska
1278,Dolomite
1279,Dora Junction
1280,Doster
1281,Dosterville
1282,Dothan
1283,Double Bridges
